sentence_id,target_id
1,_st2Y0HDrEeSqnN80MQ2uGw
2,_5LN7MLg2EeSNPorBlo7x9g
2,_ahv3gL0YEeSAHuL4ItXOLQ
2,_tBjC0HDpEeSqnN80MQ2uGw
3,_st2Y0HDrEeSqnN80MQ2uGw
4,_5LN7MLg2EeSNPorBlo7x9g
4,_9eK7YHDrEeSqnN80MQ2uGw
4,_ahv3gL0YEeSAHuL4ItXOLQ
4,_p_EeYHDrEeSqnN80MQ2uGw
4,_tBjC0HDpEeSqnN80MQ2uGw
5,_st2Y0HDrEeSqnN80MQ2uGw
6,_9eK7YHDrEeSqnN80MQ2uGw
6,_qxAiILg7EeSNPorBlo7x9g
6,_st2Y0HDrEeSqnN80MQ2uGw
7,_p_EeYHDrEeSqnN80MQ2uGw
8,_p_EeYHDrEeSqnN80MQ2uGw
9,_9eK7YHDrEeSqnN80MQ2uGw
9,_Fslt8OXSEeSa__lJ2-JCxw
9,_S-lawHDqEeSqnN80MQ2uGw
9,_j5vZQLhEEeSNPorBlo7x9g
9,_o10-YHDrEeSqnN80MQ2uGw
9,_p_EeYHDrEeSqnN80MQ2uGw
9,_qxAiILg7EeSNPorBlo7x9g
10,_5LN7MLg2EeSNPorBlo7x9g
10,_ahv3gL0YEeSAHuL4ItXOLQ
10,_tBjC0HDpEeSqnN80MQ2uGw
11,_ahv3gL0YEeSAHuL4ItXOLQ
12,_5LN7MLg2EeSNPorBlo7x9g
12,_tBjC0HDpEeSqnN80MQ2uGw
13,_ahv3gL0YEeSAHuL4ItXOLQ
14,_9eK7YHDrEeSqnN80MQ2uGw
14,_B5geQHDsEeSqnN80MQ2uGw
14,_S-lawHDqEeSqnN80MQ2uGw
14,_S-lawHDqEeSqnN80MQ2uGw2
14,_h_QpkLhEEeSNPorBlo7x9g
14,_o10-YHDrEeSqnN80MQ2uGw
14,_p_EeYHDrEeSqnN80MQ2uGw
15,_B5geQHDsEeSqnN80MQ2uGw
15,_S-lawHDqEeSqnN80MQ2uGw
15,_S-lawHDqEeSqnN80MQ2uGw2
15,_h_QpkLhEEeSNPorBlo7x9g
15,_o10-YHDrEeSqnN80MQ2uGw
15,_p_EeYHDrEeSqnN80MQ2uGw
16,_S-lawHDqEeSqnN80MQ2uGw
16,_S-lawHDqEeSqnN80MQ2uGw2
16,_h_QpkLhEEeSNPorBlo7x9g
17,_h_QpkLhEEeSNPorBlo7x9g
17,_p_EeYHDrEeSqnN80MQ2uGw
18,_9eK7YHDrEeSqnN80MQ2uGw
18,_S-lawHDqEeSqnN80MQ2uGw
18,_S-lawHDqEeSqnN80MQ2uGw2
18,_ahv3gL0YEeSAHuL4ItXOLQ
18,_h_QpkLhEEeSNPorBlo7x9g
18,_p_EeYHDrEeSqnN80MQ2uGw
18,_qxAiILg7EeSNPorBlo7x9g
18,_tBjC0HDpEeSqnN80MQ2uGw
19,_B5geQHDsEeSqnN80MQ2uGw
20,_o10-YHDrEeSqnN80MQ2uGw
21,_B5geQHDsEeSqnN80MQ2uGw
21,_o10-YHDrEeSqnN80MQ2uGw
22,_5LN7MLg2EeSNPorBlo7x9g
22,_9eK7YHDrEeSqnN80MQ2uGw
22,_p_EeYHDrEeSqnN80MQ2uGw
22,_qxAiILg7EeSNPorBlo7x9g
23,_5LN7MLg2EeSNPorBlo7x9g
24,_5LN7MLg2EeSNPorBlo7x9g
24,_9eK7YHDrEeSqnN80MQ2uGw
24,_ahv3gL0YEeSAHuL4ItXOLQ
24,_p_EeYHDrEeSqnN80MQ2uGw
24,_qxAiILg7EeSNPorBlo7x9g
24,_tBjC0HDpEeSqnN80MQ2uGw
25,_5LN7MLg2EeSNPorBlo7x9g
26,_9eK7YHDrEeSqnN80MQ2uGw
26,_qxAiILg7EeSNPorBlo7x9g
27,_9eK7YHDrEeSqnN80MQ2uGw
28,_5LN7MLg2EeSNPorBlo7x9g
28,_9eK7YHDrEeSqnN80MQ2uGw
28,_p_EeYHDrEeSqnN80MQ2uGw
28,_qxAiILg7EeSNPorBlo7x9g
29,_tBjC0HDpEeSqnN80MQ2uGw
30,_5LN7MLg2EeSNPorBlo7x9g
30,_tBjC0HDpEeSqnN80MQ2uGw
31,_5LN7MLg2EeSNPorBlo7x9g
32,_5LN7MLg2EeSNPorBlo7x9g
33,_5LN7MLg2EeSNPorBlo7x9g
33,_9eK7YHDrEeSqnN80MQ2uGw
33,_p_EeYHDrEeSqnN80MQ2uGw
33,_qxAiILg7EeSNPorBlo7x9g
34,_5LN7MLg2EeSNPorBlo7x9g
34,_9eK7YHDrEeSqnN80MQ2uGw
35,_9eK7YHDrEeSqnN80MQ2uGw
35,_p_EeYHDrEeSqnN80MQ2uGw
35,_qxAiILg7EeSNPorBlo7x9g
36,_qxAiILg7EeSNPorBlo7x9g
37,_9eK7YHDrEeSqnN80MQ2uGw
37,_B5geQHDsEeSqnN80MQ2uGw
37,_Fslt8OXSEeSa__lJ2-JCxw
37,_S-lawHDqEeSqnN80MQ2uGw
37,_o10-YHDrEeSqnN80MQ2uGw
37,_p_EeYHDrEeSqnN80MQ2uGw
37,_qxAiILg7EeSNPorBlo7x9g
