sentence_id,target_id
4,_0e5u8FkHEeyewPSmlgszyA
5,_0e5u8FkHEeyewPSmlgszyA
6,_0e5u8FkHEeyewPSmlgszyA
8,_yGgUMFkHEeyewPSmlgszyA
9,_yGgUMFkHEeyewPSmlgszyA
14,_0e5u8FkHEeyewPSmlgszyA
15,_yGgUMFkHEeyewPSmlgszyA
19,_yGgUMFkHEeyewPSmlgszyA
20,_yGgUMFkHEeyewPSmlgszyA
21,_yGgUMFkHEeyewPSmlgszyA
26,_XuNf4FkJEeyewPSmlgszyA
30,_4yx-8FkHEeyewPSmlgszyA
30,_oN4CMFkHEeyewPSmlgszyA
36,_4yx-8FkHEeyewPSmlgszyA
37,_4yx-8FkHEeyewPSmlgszyA
42,_s0aIcFkHEeyewPSmlgszyA
46,_6sergFkHEeyewPSmlgszyA
47,_6sergFkHEeyewPSmlgszyA
48,_RDHFIFwPEeyiuNx_RO7j-Q
49,_RDHFIFwPEeyiuNx_RO7j-Q
51,_XuNf4FkJEeyewPSmlgszyA
52,_XuNf4FkJEeyewPSmlgszyA
54,_XuNf4FkJEeyewPSmlgszyA
57,_9wZIcFkHEeyewPSmlgszyA
58,_nwrCMFwPEeyiuNx_RO7j-Q
59,_nwrCMFwPEeyiuNx_RO7j-Q
60,_6sergFkHEeyewPSmlgszyA
60,_9wZIcFkHEeyewPSmlgszyA
60,_XuNf4FkJEeyewPSmlgszyA
60,_nwrCMFwPEeyiuNx_RO7j-Q
61,_nwrCMFwPEeyiuNx_RO7j-Q
62,_nwrCMFwPEeyiuNx_RO7j-Q
63,_nwrCMFwPEeyiuNx_RO7j-Q
66,_nwrCMFwPEeyiuNx_RO7j-Q
67,_oN4CMFkHEeyewPSmlgszyA
67,_s0aIcFkHEeyewPSmlgszyA
68,_oN4CMFkHEeyewPSmlgszyA
72,_0e5u8FkHEeyewPSmlgszyA
72,_nwrCMFwPEeyiuNx_RO7j-Q
78,_4yx-8FkHEeyewPSmlgszyA
79,_6sergFkHEeyewPSmlgszyA
