sentence_id,target_id
1,_AiuxcDVdEeqPG_FgW3bi6Q
1,_YkXeIDVgEeqPG_FgW3bi6Q
1,_bC13QDVWEeqPG_FgW3bi6Q
1,_dhM6oDVXEeqPG_FgW3bi6Q
1,_kgbngDVgEeqPG_FgW3bi6Q
1,_m3fxEDVWEeqPG_FgW3bi6Q
1,_ouzFYDVgEeqPG_FgW3bi6Q
1,_raxjcDVgEeqPG_FgW3bi6Q
1,_yA04AKTKEeqKjI323B3R3w
2,_bC13QDVWEeqPG_FgW3bi6Q
2,_yA04AKTKEeqKjI323B3R3w
3,_AiuxcDVdEeqPG_FgW3bi6Q
3,_bC13QDVWEeqPG_FgW3bi6Q
4,_YkXeIDVgEeqPG_FgW3bi6Q
4,_bC13QDVWEeqPG_FgW3bi6Q
4,_iaElgKpwEeqHXcsU55mirw
4,_kgbngDVgEeqPG_FgW3bi6Q
4,_lnx1oDVWEeqPG_FgW3bi6Q
4,_m3fxEDVWEeqPG_FgW3bi6Q
4,_ouzFYDVgEeqPG_FgW3bi6Q
4,_raxjcDVgEeqPG_FgW3bi6Q
5,_bC13QDVWEeqPG_FgW3bi6Q
6,_AiuxcDVdEeqPG_FgW3bi6Q
6,_bC13QDVWEeqPG_FgW3bi6Q
6,_dhM6oDVXEeqPG_FgW3bi6Q
6,_lnx1oDVWEeqPG_FgW3bi6Q
6,_m3fxEDVWEeqPG_FgW3bi6Q
6,_raxjcDVgEeqPG_FgW3bi6Q
7,_bC13QDVWEeqPG_FgW3bi6Q
7,_yA04AKTKEeqKjI323B3R3w
8,_bC13QDVWEeqPG_FgW3bi6Q
9,_bC13QDVWEeqPG_FgW3bi6Q
9,_dhM6oDVXEeqPG_FgW3bi6Q
10,_bC13QDVWEeqPG_FgW3bi6Q
10,_yA04AKTKEeqKjI323B3R3w
11,_bC13QDVWEeqPG_FgW3bi6Q
11,_dhM6oDVXEeqPG_FgW3bi6Q
11,_kgbngDVgEeqPG_FgW3bi6Q
11,_m3fxEDVWEeqPG_FgW3bi6Q
11,_raxjcDVgEeqPG_FgW3bi6Q
11,_yA04AKTKEeqKjI323B3R3w
12,_bC13QDVWEeqPG_FgW3bi6Q
12,_yA04AKTKEeqKjI323B3R3w
13,_bC13QDVWEeqPG_FgW3bi6Q
13,_yA04AKTKEeqKjI323B3R3w
14,_bC13QDVWEeqPG_FgW3bi6Q
14,_dhM6oDVXEeqPG_FgW3bi6Q
14,_lnx1oDVWEeqPG_FgW3bi6Q
14,_yA04AKTKEeqKjI323B3R3w
15,_bC13QDVWEeqPG_FgW3bi6Q
15,_dhM6oDVXEeqPG_FgW3bi6Q
15,_m3fxEDVWEeqPG_FgW3bi6Q
15,_yA04AKTKEeqKjI323B3R3w
16,_bC13QDVWEeqPG_FgW3bi6Q
16,_raxjcDVgEeqPG_FgW3bi6Q
16,_yA04AKTKEeqKjI323B3R3w
