sentence_id,target_id
1,_1lMqsKESEeu-mYqkDskRow
1,_3LCnIKESEeu-mYqkDskRow
1,_9JlCIKESEeu-mYqkDskRow
1,_Bae2oKETEeu-mYqkDskRow
1,_EIoe8KETEeu-mYqkDskRow
1,_GaP8QKETEeu-mYqkDskRow
1,_KGVMcKETEeu-mYqkDskRow
1,_zUmhEKESEeu-mYqkDskRow
3,_1lMqsKESEeu-mYqkDskRow
3,_3LCnIKESEeu-mYqkDskRow
3,_9JlCIKESEeu-mYqkDskRow
3,_Bae2oKETEeu-mYqkDskRow
3,_EIoe8KETEeu-mYqkDskRow
3,_GaP8QKETEeu-mYqkDskRow
3,_KGVMcKETEeu-mYqkDskRow
3,_zUmhEKESEeu-mYqkDskRow
4,_1lMqsKESEeu-mYqkDskRow
4,_GaP8QKETEeu-mYqkDskRow
5,_1lMqsKESEeu-mYqkDskRow
5,_GaP8QKETEeu-mYqkDskRow
6,_1lMqsKESEeu-mYqkDskRow
6,_GaP8QKETEeu-mYqkDskRow
7,_1lMqsKESEeu-mYqkDskRow
7,_3LCnIKESEeu-mYqkDskRow
8,_3LCnIKESEeu-mYqkDskRow
9,_9JlCIKESEeu-mYqkDskRow
9,_KGVMcKETEeu-mYqkDskRow
10,_Bae2oKETEeu-mYqkDskRow
11,_Bae2oKETEeu-mYqkDskRow
11,_EIoe8KETEeu-mYqkDskRow
13,_Bae2oKETEeu-mYqkDskRow
14,_Bae2oKETEeu-mYqkDskRow
15,_1lMqsKESEeu-mYqkDskRow
15,_Bae2oKETEeu-mYqkDskRow
15,_EIoe8KETEeu-mYqkDskRow
15,_GaP8QKETEeu-mYqkDskRow
16,_Bae2oKETEeu-mYqkDskRow
16,_EIoe8KETEeu-mYqkDskRow
17,_1lMqsKESEeu-mYqkDskRow
17,_Bae2oKETEeu-mYqkDskRow
17,_EIoe8KETEeu-mYqkDskRow
17,_GaP8QKETEeu-mYqkDskRow
18,_GaP8QKETEeu-mYqkDskRow
20,_9JlCIKESEeu-mYqkDskRow
20,_KGVMcKETEeu-mYqkDskRow
21,_zUmhEKESEeu-mYqkDskRow
22,_1lMqsKESEeu-mYqkDskRow
22,_3LCnIKESEeu-mYqkDskRow
22,_9JlCIKESEeu-mYqkDskRow
22,_Bae2oKETEeu-mYqkDskRow
22,_EIoe8KETEeu-mYqkDskRow
22,_GaP8QKETEeu-mYqkDskRow
