sentence_id,target_id
1,_0e5u8FkHEeyewPSmlgszyA
1,_2BgxMFkHEeyewPSmlgszyA
1,_4yx-8FkHEeyewPSmlgszyA
1,_9wZIcFkHEeyewPSmlgszyA
1,_RDHFIFwPEeyiuNx_RO7j-Q
1,_XuNf4FkJEeyewPSmlgszyA
1,_kvWs4FkHEeyewPSmlgszyA
1,_nwrCMFwPEeyiuNx_RO7j-Q
1,_s0aIcFkHEeyewPSmlgszyA
1,_yGgUMFkHEeyewPSmlgszyA
2,_0e5u8FkHEeyewPSmlgszyA
2,_2BgxMFkHEeyewPSmlgszyA
2,_4yx-8FkHEeyewPSmlgszyA
2,_RDHFIFwPEeyiuNx_RO7j-Q
2,_XuNf4FkJEeyewPSmlgszyA
2,_kvWs4FkHEeyewPSmlgszyA
2,_nwrCMFwPEeyiuNx_RO7j-Q
2,_oN4CMFkHEeyewPSmlgszyA
2,_s0aIcFkHEeyewPSmlgszyA
2,_yGgUMFkHEeyewPSmlgszyA
3,_0e5u8FkHEeyewPSmlgszyA
3,_2BgxMFkHEeyewPSmlgszyA
3,_4yx-8FkHEeyewPSmlgszyA
3,_9wZIcFkHEeyewPSmlgszyA
3,_RDHFIFwPEeyiuNx_RO7j-Q
3,_XuNf4FkJEeyewPSmlgszyA
3,_kvWs4FkHEeyewPSmlgszyA
3,_oN4CMFkHEeyewPSmlgszyA
3,_s0aIcFkHEeyewPSmlgszyA
3,_yGgUMFkHEeyewPSmlgszyA
4,_0e5u8FkHEeyewPSmlgszyA
4,_2BgxMFkHEeyewPSmlgszyA
4,_4yx-8FkHEeyewPSmlgszyA
4,_XuNf4FkJEeyewPSmlgszyA
4,_nwrCMFwPEeyiuNx_RO7j-Q
4,_oN4CMFkHEeyewPSmlgszyA
4,_s0aIcFkHEeyewPSmlgszyA
4,_yGgUMFkHEeyewPSmlgszyA
5,_0e5u8FkHEeyewPSmlgszyA
5,_4yx-8FkHEeyewPSmlgszyA
5,_kvWs4FkHEeyewPSmlgszyA
5,_nwrCMFwPEeyiuNx_RO7j-Q
5,_oN4CMFkHEeyewPSmlgszyA
5,_s0aIcFkHEeyewPSmlgszyA
6,_0e5u8FkHEeyewPSmlgszyA
6,_4yx-8FkHEeyewPSmlgszyA
7,_0e5u8FkHEeyewPSmlgszyA
7,_4yx-8FkHEeyewPSmlgszyA
7,_s0aIcFkHEeyewPSmlgszyA
8,_0e5u8FkHEeyewPSmlgszyA
8,_yGgUMFkHEeyewPSmlgszyA
9,_0e5u8FkHEeyewPSmlgszyA
9,_4yx-8FkHEeyewPSmlgszyA
9,_yGgUMFkHEeyewPSmlgszyA
10,_0e5u8FkHEeyewPSmlgszyA
10,_4yx-8FkHEeyewPSmlgszyA
10,_kvWs4FkHEeyewPSmlgszyA
10,_s0aIcFkHEeyewPSmlgszyA
11,_0e5u8FkHEeyewPSmlgszyA
11,_6sergFkHEeyewPSmlgszyA
11,_kvWs4FkHEeyewPSmlgszyA
11,_nwrCMFwPEeyiuNx_RO7j-Q
11,_oN4CMFkHEeyewPSmlgszyA
11,_s0aIcFkHEeyewPSmlgszyA
12,_0e5u8FkHEeyewPSmlgszyA
12,_2BgxMFkHEeyewPSmlgszyA
12,_6sergFkHEeyewPSmlgszyA
12,_RDHFIFwPEeyiuNx_RO7j-Q
12,_XuNf4FkJEeyewPSmlgszyA
12,_kvWs4FkHEeyewPSmlgszyA
12,_oN4CMFkHEeyewPSmlgszyA
12,_s0aIcFkHEeyewPSmlgszyA
12,_yGgUMFkHEeyewPSmlgszyA
13,_0e5u8FkHEeyewPSmlgszyA
13,_XuNf4FkJEeyewPSmlgszyA
13,_yGgUMFkHEeyewPSmlgszyA
14,_0e5u8FkHEeyewPSmlgszyA
14,_2BgxMFkHEeyewPSmlgszyA
14,_4yx-8FkHEeyewPSmlgszyA
14,_9wZIcFkHEeyewPSmlgszyA
14,_RDHFIFwPEeyiuNx_RO7j-Q
14,_XuNf4FkJEeyewPSmlgszyA
14,_nwrCMFwPEeyiuNx_RO7j-Q
14,_oN4CMFkHEeyewPSmlgszyA
14,_s0aIcFkHEeyewPSmlgszyA
14,_yGgUMFkHEeyewPSmlgszyA
15,_4yx-8FkHEeyewPSmlgszyA
15,_9wZIcFkHEeyewPSmlgszyA
15,_RDHFIFwPEeyiuNx_RO7j-Q
15,_oN4CMFkHEeyewPSmlgszyA
15,_s0aIcFkHEeyewPSmlgszyA
15,_yGgUMFkHEeyewPSmlgszyA
16,_0e5u8FkHEeyewPSmlgszyA
16,_4yx-8FkHEeyewPSmlgszyA
16,_s0aIcFkHEeyewPSmlgszyA
16,_yGgUMFkHEeyewPSmlgszyA
17,_6sergFkHEeyewPSmlgszyA
17,_RDHFIFwPEeyiuNx_RO7j-Q
17,_XuNf4FkJEeyewPSmlgszyA
18,_4yx-8FkHEeyewPSmlgszyA
18,_6sergFkHEeyewPSmlgszyA
18,_RDHFIFwPEeyiuNx_RO7j-Q
18,_oN4CMFkHEeyewPSmlgszyA
18,_s0aIcFkHEeyewPSmlgszyA
18,_yGgUMFkHEeyewPSmlgszyA
19,_0e5u8FkHEeyewPSmlgszyA
19,_4yx-8FkHEeyewPSmlgszyA
19,_6sergFkHEeyewPSmlgszyA
19,_oN4CMFkHEeyewPSmlgszyA
19,_s0aIcFkHEeyewPSmlgszyA
19,_yGgUMFkHEeyewPSmlgszyA
20,_0e5u8FkHEeyewPSmlgszyA
20,_2BgxMFkHEeyewPSmlgszyA
20,_4yx-8FkHEeyewPSmlgszyA
20,_6sergFkHEeyewPSmlgszyA
20,_nwrCMFwPEeyiuNx_RO7j-Q
20,_yGgUMFkHEeyewPSmlgszyA
21,_0e5u8FkHEeyewPSmlgszyA
21,_2BgxMFkHEeyewPSmlgszyA
21,_4yx-8FkHEeyewPSmlgszyA
21,_6sergFkHEeyewPSmlgszyA
21,_oN4CMFkHEeyewPSmlgszyA
21,_s0aIcFkHEeyewPSmlgszyA
21,_yGgUMFkHEeyewPSmlgszyA
22,_4yx-8FkHEeyewPSmlgszyA
22,_RDHFIFwPEeyiuNx_RO7j-Q
22,_kvWs4FkHEeyewPSmlgszyA
22,_nwrCMFwPEeyiuNx_RO7j-Q
22,_s0aIcFkHEeyewPSmlgszyA
22,_yGgUMFkHEeyewPSmlgszyA
23,_0e5u8FkHEeyewPSmlgszyA
23,_2BgxMFkHEeyewPSmlgszyA
23,_4yx-8FkHEeyewPSmlgszyA
23,_6sergFkHEeyewPSmlgszyA
23,_yGgUMFkHEeyewPSmlgszyA
24,_0e5u8FkHEeyewPSmlgszyA
24,_2BgxMFkHEeyewPSmlgszyA
24,_6sergFkHEeyewPSmlgszyA
24,_RDHFIFwPEeyiuNx_RO7j-Q
24,_XuNf4FkJEeyewPSmlgszyA
24,_nwrCMFwPEeyiuNx_RO7j-Q
24,_oN4CMFkHEeyewPSmlgszyA
24,_s0aIcFkHEeyewPSmlgszyA
24,_yGgUMFkHEeyewPSmlgszyA
25,_0e5u8FkHEeyewPSmlgszyA
25,_6sergFkHEeyewPSmlgszyA
25,_RDHFIFwPEeyiuNx_RO7j-Q
25,_XuNf4FkJEeyewPSmlgszyA
25,_oN4CMFkHEeyewPSmlgszyA
25,_s0aIcFkHEeyewPSmlgszyA
26,_0e5u8FkHEeyewPSmlgszyA
26,_4yx-8FkHEeyewPSmlgszyA
26,_6sergFkHEeyewPSmlgszyA
26,_yGgUMFkHEeyewPSmlgszyA
27,_0e5u8FkHEeyewPSmlgszyA
27,_6sergFkHEeyewPSmlgszyA
27,_RDHFIFwPEeyiuNx_RO7j-Q
27,_kvWs4FkHEeyewPSmlgszyA
27,_nwrCMFwPEeyiuNx_RO7j-Q
27,_yGgUMFkHEeyewPSmlgszyA
28,_4yx-8FkHEeyewPSmlgszyA
28,_6sergFkHEeyewPSmlgszyA
28,_XuNf4FkJEeyewPSmlgszyA
28,_oN4CMFkHEeyewPSmlgszyA
28,_s0aIcFkHEeyewPSmlgszyA
29,_6sergFkHEeyewPSmlgszyA
29,_RDHFIFwPEeyiuNx_RO7j-Q
29,_oN4CMFkHEeyewPSmlgszyA
29,_s0aIcFkHEeyewPSmlgszyA
31,_nwrCMFwPEeyiuNx_RO7j-Q
32,_4yx-8FkHEeyewPSmlgszyA
32,_nwrCMFwPEeyiuNx_RO7j-Q
34,_0e5u8FkHEeyewPSmlgszyA
34,_2BgxMFkHEeyewPSmlgszyA
34,_4yx-8FkHEeyewPSmlgszyA
34,_RDHFIFwPEeyiuNx_RO7j-Q
34,_nwrCMFwPEeyiuNx_RO7j-Q
34,_oN4CMFkHEeyewPSmlgszyA
34,_s0aIcFkHEeyewPSmlgszyA
34,_yGgUMFkHEeyewPSmlgszyA
35,_0e5u8FkHEeyewPSmlgszyA
35,_2BgxMFkHEeyewPSmlgszyA
35,_4yx-8FkHEeyewPSmlgszyA
35,_9wZIcFkHEeyewPSmlgszyA
35,_RDHFIFwPEeyiuNx_RO7j-Q
35,_kvWs4FkHEeyewPSmlgszyA
35,_nwrCMFwPEeyiuNx_RO7j-Q
35,_oN4CMFkHEeyewPSmlgszyA
35,_s0aIcFkHEeyewPSmlgszyA
35,_yGgUMFkHEeyewPSmlgszyA
36,_0e5u8FkHEeyewPSmlgszyA
36,_2BgxMFkHEeyewPSmlgszyA
36,_4yx-8FkHEeyewPSmlgszyA
36,_6sergFkHEeyewPSmlgszyA
36,_RDHFIFwPEeyiuNx_RO7j-Q
36,_kvWs4FkHEeyewPSmlgszyA
36,_nwrCMFwPEeyiuNx_RO7j-Q
36,_oN4CMFkHEeyewPSmlgszyA
36,_s0aIcFkHEeyewPSmlgszyA
37,_0e5u8FkHEeyewPSmlgszyA
37,_4yx-8FkHEeyewPSmlgszyA
37,_kvWs4FkHEeyewPSmlgszyA
37,_s0aIcFkHEeyewPSmlgszyA
38,_0e5u8FkHEeyewPSmlgszyA
38,_2BgxMFkHEeyewPSmlgszyA
38,_4yx-8FkHEeyewPSmlgszyA
38,_yGgUMFkHEeyewPSmlgszyA
39,_4yx-8FkHEeyewPSmlgszyA
39,_XuNf4FkJEeyewPSmlgszyA
39,_nwrCMFwPEeyiuNx_RO7j-Q
40,_2BgxMFkHEeyewPSmlgszyA
40,_4yx-8FkHEeyewPSmlgszyA
40,_s0aIcFkHEeyewPSmlgszyA
40,_yGgUMFkHEeyewPSmlgszyA
41,_0e5u8FkHEeyewPSmlgszyA
41,_4yx-8FkHEeyewPSmlgszyA
41,_kvWs4FkHEeyewPSmlgszyA
41,_nwrCMFwPEeyiuNx_RO7j-Q
41,_oN4CMFkHEeyewPSmlgszyA
41,_s0aIcFkHEeyewPSmlgszyA
41,_yGgUMFkHEeyewPSmlgszyA
42,_0e5u8FkHEeyewPSmlgszyA
42,_2BgxMFkHEeyewPSmlgszyA
42,_4yx-8FkHEeyewPSmlgszyA
42,_XuNf4FkJEeyewPSmlgszyA
42,_kvWs4FkHEeyewPSmlgszyA
42,_nwrCMFwPEeyiuNx_RO7j-Q
42,_s0aIcFkHEeyewPSmlgszyA
42,_yGgUMFkHEeyewPSmlgszyA
43,_0e5u8FkHEeyewPSmlgszyA
43,_2BgxMFkHEeyewPSmlgszyA
43,_4yx-8FkHEeyewPSmlgszyA
43,_XuNf4FkJEeyewPSmlgszyA
43,_s0aIcFkHEeyewPSmlgszyA
43,_yGgUMFkHEeyewPSmlgszyA
44,_6sergFkHEeyewPSmlgszyA
44,_RDHFIFwPEeyiuNx_RO7j-Q
44,_s0aIcFkHEeyewPSmlgszyA
44,_yGgUMFkHEeyewPSmlgszyA
45,_0e5u8FkHEeyewPSmlgszyA
45,_4yx-8FkHEeyewPSmlgszyA
45,_6sergFkHEeyewPSmlgszyA
45,_RDHFIFwPEeyiuNx_RO7j-Q
45,_XuNf4FkJEeyewPSmlgszyA
45,_kvWs4FkHEeyewPSmlgszyA
45,_s0aIcFkHEeyewPSmlgszyA
